Sub-network,Date,Latency (ms), MACs,Top-1 Acc (%)
"{'wid': None, 'ks': [3, 3, 3, 7, 3, 3, 5, 3, 7, 7, 7, 7, 7, 3, 7, 3, 7, 5, 5, 5], 'e': [6, 6, 3, 4, 3, 4, 4, 6, 3, 6, 3, 3, 3, 4, 6, 6, 4, 4, 3, 4], 'd': [2, 2, 4, 3, 4], 'r': [224]}",2022-07-07 04:35:55.596641,0,393554528,77.404
"{'wid': None, 'ks': [3, 3, 7, 5, 5, 7, 5, 3, 3, 3, 7, 3, 3, 5, 5, 3, 5, 5, 5, 7], 'e': [6, 4, 4, 4, 3, 3, 6, 4, 4, 4, 6, 6, 4, 6, 4, 6, 3, 6, 4, 6], 'd': [3, 2, 4, 3, 3], 'r': [224]}",2022-07-07 04:37:42.993278,0,429058712,77.8
"{'wid': None, 'ks': [5, 5, 7, 7, 5, 3, 3, 7, 3, 7, 5, 7, 3, 3, 5, 3, 3, 3, 5, 7], 'e': [4, 6, 3, 6, 6, 4, 6, 6, 3, 6, 3, 6, 3, 6, 3, 3, 4, 4, 6, 6], 'd': [4, 3, 3, 2, 2], 'r': [224]}",2022-07-07 04:39:22.988318,0,445620000,76.618
"{'wid': None, 'ks': [7, 5, 3, 3, 7, 3, 5, 5, 5, 3, 7, 3, 5, 5, 7, 7, 3, 3, 3, 7], 'e': [6, 6, 4, 6, 4, 6, 6, 3, 6, 4, 3, 4, 4, 6, 3, 6, 4, 4, 3, 6], 'd': [2, 3, 2, 3, 2], 'r': [224]}",2022-07-07 04:40:55.085521,0,400323392,77.206
"{'wid': None, 'ks': [5, 7, 3, 5, 7, 5, 5, 7, 5, 5, 7, 3, 3, 7, 7, 3, 7, 7, 7, 3], 'e': [6, 3, 3, 4, 4, 4, 4, 4, 6, 3, 6, 4, 6, 6, 4, 3, 6, 6, 4, 6], 'd': [2, 3, 4, 4, 4], 'r': [224]}",2022-07-07 04:43:08.214446,0,498876496,78.634
"{'wid': None, 'ks': [3, 5, 3, 7, 7, 7, 5, 7, 7, 5, 7, 3, 3, 7, 7, 3, 7, 5, 7, 3], 'e': [4, 4, 3, 6, 6, 6, 4, 3, 3, 4, 4, 6, 4, 6, 3, 3, 4, 6, 4, 4], 'd': [2, 2, 2, 2, 3], 'r': [224]}",2022-07-07 04:44:28.688921,0,332993696,76.894
"{'wid': None, 'ks': [3, 5, 3, 5, 7, 7, 5, 7, 7, 5, 7, 3, 3, 7, 7, 3, 7, 5, 7, 3], 'e': [4, 4, 3, 4, 4, 6, 4, 3, 3, 4, 4, 4, 4, 6, 3, 3, 4, 6, 4, 4], 'd': [2, 2, 2, 2, 3], 'r': [224]}",2022-07-07 04:45:50.195894,0,321693856,76.844
"{'wid': None, 'ks': [3, 5, 3, 5, 7, 5, 5, 7, 5, 5, 7, 3, 3, 7, 7, 3, 7, 7, 7, 3], 'e': [4, 4, 3, 4, 4, 4, 4, 4, 6, 3, 4, 4, 4, 6, 4, 3, 6, 6, 4, 6], 'd': [2, 2, 4, 4, 4], 'r': [224]}",2022-07-07 04:47:41.710011,0,436271696,78.51
"{'wid': None, 'ks': [3, 5, 3, 3, 7, 7, 5, 7, 7, 5, 7, 3, 3, 7, 7, 3, 7, 5, 7, 3], 'e': [4, 4, 3, 4, 4, 6, 4, 3, 3, 4, 4, 4, 4, 6, 3, 3, 6, 6, 4, 4], 'd': [2, 2, 2, 2, 3], 'r': [224]}",2022-07-07 04:49:08.676299,0,332347824,77.1
"{'wid': None, 'ks': [3, 5, 3, 3, 7, 5, 5, 7, 7, 5, 7, 3, 3, 7, 7, 3, 7, 5, 7, 3], 'e': [4, 3, 3, 4, 4, 4, 4, 3, 6, 3, 4, 4, 6, 6, 4, 3, 6, 6, 4, 6], 'd': [2, 2, 4, 4, 4], 'r': [224]}",2022-07-07 04:51:03.806495,0,436501840,78.542
